NAME                         READY   STATUS             RESTARTS         AGE     IP            NODE          NOMINATED NODE   READINESS GATES
frontend-6798c74b8c-m2ddg    1/1     Running            0                169m    10.244.2.11   k8s-worker2   <none>           <none>
gateway-7b76d459b9-6spnt     1/1     Running            0                71m     10.244.1.53   k8s-worker1   <none>           <none>
gateway-7b76d459b9-92tht     1/1     Running            0                12m     10.244.1.80   k8s-worker1   <none>           <none>
gateway-7b76d459b9-9ftfs     0/1     Pending            0                1s      <none>        <none>        <none>           <none>
gateway-7b76d459b9-dx5zq     1/1     Running            0                9m2s    10.244.1.84   k8s-worker1   <none>           <none>
gateway-7b76d459b9-mrz57     0/1     Pending            0                1s      <none>        <none>        <none>           <none>
gateway-7b76d459b9-mt8rg     0/1     Pending            0                1s      <none>        <none>        <none>           <none>
gateway-7b76d459b9-pl28d     1/1     Running            0                8m32s   10.244.1.86   k8s-worker1   <none>           <none>
gateway-7b76d459b9-qplgl     1/1     Running            0                9m32s   10.244.1.83   k8s-worker1   <none>           <none>
gateway-7b76d459b9-rhsb6     1/1     Running            0                169m    10.244.1.10   k8s-worker1   <none>           <none>
gateway-7b76d459b9-v6tnz     1/1     Running            0                11m     10.244.1.81   k8s-worker1   <none>           <none>
inventory-7c5c586469-cs555   1/1     Running            4 (6m20s ago)    9m32s   10.244.1.82   k8s-worker1   <none>           <none>
inventory-7c5c586469-h59hh   0/1     CrashLoopBackOff   7 (56s ago)      116m    10.244.2.35   k8s-worker2   <none>           <none>
inventory-7c5c586469-m7f8s   0/1     CrashLoopBackOff   5 (44s ago)      8m2s    10.244.1.88   k8s-worker1   <none>           <none>
inventory-7c5c586469-p8l8f   0/1     Running            2 (46s ago)      3m47s   10.244.1.95   k8s-worker1   <none>           <none>
inventory-7c5c586469-rrrlv   0/1     CrashLoopBackOff   5 (2m45s ago)    8m47s   10.244.1.85   k8s-worker1   <none>           <none>
inventory-7c5c586469-zqvm9   0/1     Running            2 (56s ago)      3m47s   10.244.1.96   k8s-worker1   <none>           <none>
order-556547d684-5cw6s       0/1     CrashLoopBackOff   9 (54s ago)      67m     10.244.2.61   k8s-worker2   <none>           <none>
order-556547d684-7dddm       0/1     Running            6 (3m3s ago)     8m32s   10.244.2.76   k8s-worker2   <none>           <none>
order-556547d684-9q9xj       1/1     Running            5 (4m47s ago)    9m17s   10.244.2.74   k8s-worker2   <none>           <none>
order-556547d684-btvvm       0/1     CrashLoopBackOff   4 (59s ago)      7m32s   10.244.2.79   k8s-worker2   <none>           <none>
order-556547d684-m6gfl       1/1     Running            0                12m     10.244.2.70   k8s-worker2   <none>           <none>
order-556547d684-mkx72       0/1     CrashLoopBackOff   5 (6s ago)       61m     10.244.2.66   k8s-worker2   <none>           <none>
order-556547d684-p7jkh       0/1     Running            6 (3m26s ago)    9m47s   10.244.2.72   k8s-worker2   <none>           <none>
order-556547d684-smgkl       1/1     Running            2 (115s ago)     4m1s    10.244.1.94   k8s-worker1   <none>           <none>
order-556547d684-v5fsl       0/1     CrashLoopBackOff   5 (55s ago)      8m17s   10.244.2.78   k8s-worker2   <none>           <none>
order-556547d684-zcbhh       0/1     Running            6 (3m6s ago)     12m     10.244.2.68   k8s-worker2   <none>           <none>
payment-84d4c68676-79qq4     0/1     CrashLoopBackOff   5 (2m1s ago)     8m47s   10.244.2.75   k8s-worker2   <none>           <none>
payment-84d4c68676-bm2nz     0/1     CrashLoopBackOff   5 (56s ago)      8m17s   10.244.2.77   k8s-worker2   <none>           <none>
payment-84d4c68676-bwxlv     0/1     CrashLoopBackOff   5 (2m4s ago)     9m47s   10.244.2.71   k8s-worker2   <none>           <none>
payment-84d4c68676-df5gz     0/1     CrashLoopBackOff   3 (46s ago)      4m32s   10.244.1.92   k8s-worker1   <none>           <none>
payment-84d4c68676-fbv9g     0/1     CrashLoopBackOff   6 (47s ago)      63m     10.244.1.71   k8s-worker1   <none>           <none>
payment-84d4c68676-hltrh     1/1     Running            2 (2m44s ago)    4m32s   10.244.2.80   k8s-worker2   <none>           <none>
payment-84d4c68676-hw8bv     0/1     Running            1 (5s ago)       76s     10.244.1.98   k8s-worker1   <none>           <none>
payment-84d4c68676-jdfrk     0/1     CrashLoopBackOff   4 (39s ago)      9m17s   10.244.2.73   k8s-worker2   <none>           <none>
payment-84d4c68676-k9bk8     0/1     CrashLoopBackOff   10 (2m22s ago)   68m     10.244.2.60   k8s-worker2   <none>           <none>
payment-84d4c68676-kjxzw     0/1     Error              6 (3m22s ago)    12m     10.244.2.69   k8s-worker2   <none>           <none>
product-7f7cb5797d-4gnkq     1/1     Running            0                130m    10.244.1.13   k8s-worker1   <none>           <none>
product-7f7cb5797d-x9pq8     1/1     Running            0                74m     10.244.1.51   k8s-worker1   <none>           <none>
user-cf9f7646c-xfgl5         1/1     Running            0                169m    10.244.2.14   k8s-worker2   <none>           <none>
