NAME                         READY   STATUS             RESTARTS      AGE     IP            NODE          NOMINATED NODE   READINESS GATES
frontend-6798c74b8c-m2ddg    1/1     Running            0             163m    10.244.2.11   k8s-worker2   <none>           <none>
gateway-7b76d459b9-4g55k     1/1     Running            0             30s     10.244.1.91   k8s-worker1   <none>           <none>
gateway-7b76d459b9-6spnt     1/1     Running            0             65m     10.244.1.53   k8s-worker1   <none>           <none>
gateway-7b76d459b9-92tht     1/1     Running            0             6m15s   10.244.1.80   k8s-worker1   <none>           <none>
gateway-7b76d459b9-dx5zq     1/1     Running            0             3m      10.244.1.84   k8s-worker1   <none>           <none>
gateway-7b76d459b9-pl28d     1/1     Running            0             2m30s   10.244.1.86   k8s-worker1   <none>           <none>
gateway-7b76d459b9-qplgl     1/1     Running            0             3m30s   10.244.1.83   k8s-worker1   <none>           <none>
gateway-7b76d459b9-rhsb6     1/1     Running            0             163m    10.244.1.10   k8s-worker1   <none>           <none>
gateway-7b76d459b9-s7r7h     1/1     Running            0             2m      10.244.1.89   k8s-worker1   <none>           <none>
gateway-7b76d459b9-v5ck6     1/1     Running            0             90s     10.244.1.90   k8s-worker1   <none>           <none>
gateway-7b76d459b9-v6tnz     1/1     Running            0             5m      10.244.1.81   k8s-worker1   <none>           <none>
inventory-7c5c586469-cs555   0/1     CrashLoopBackOff   3 (18s ago)   3m30s   10.244.1.82   k8s-worker1   <none>           <none>
inventory-7c5c586469-h59hh   1/1     Running            3 (53m ago)   110m    10.244.2.35   k8s-worker2   <none>           <none>
inventory-7c5c586469-k54j5   0/1     CrashLoopBackOff   4 (34s ago)   54m     10.244.1.76   k8s-worker1   <none>           <none>
inventory-7c5c586469-m7f8s   1/1     Running            2 (44s ago)   2m      10.244.1.88   k8s-worker1   <none>           <none>
inventory-7c5c586469-rrrlv   0/1     Running            3 (37s ago)   2m45s   10.244.1.85   k8s-worker1   <none>           <none>
order-556547d684-5cw6s       1/1     Running            5 (54m ago)   61m     10.244.2.61   k8s-worker2   <none>           <none>
order-556547d684-7dddm       0/1     Error              3 (65s ago)   2m30s   10.244.2.76   k8s-worker2   <none>           <none>
order-556547d684-9q9xj       0/1     CrashLoopBackOff   3 (18s ago)   3m15s   10.244.2.74   k8s-worker2   <none>           <none>
order-556547d684-btvvm       0/1     CrashLoopBackOff   1 (19s ago)   90s     10.244.2.79   k8s-worker2   <none>           <none>
order-556547d684-m6gfl       1/1     Running            0             6m      10.244.2.70   k8s-worker2   <none>           <none>
order-556547d684-mkx72       0/1     Running            2 (30s ago)   55m     10.244.2.66   k8s-worker2   <none>           <none>
order-556547d684-p7jkh       0/1     CrashLoopBackOff   3 (44s ago)   3m45s   10.244.2.72   k8s-worker2   <none>           <none>
order-556547d684-v5fsl       0/1     Error              2 (46s ago)   2m15s   10.244.2.78   k8s-worker2   <none>           <none>
order-556547d684-zcbhh       0/1     Error              3 (69s ago)   6m30s   10.244.2.68   k8s-worker2   <none>           <none>
payment-84d4c68676-79qq4     0/1     CrashLoopBackOff   2 (26s ago)   2m45s   10.244.2.75   k8s-worker2   <none>           <none>
payment-84d4c68676-bm2nz     0/1     Error              2 (47s ago)   2m15s   10.244.2.77   k8s-worker2   <none>           <none>
payment-84d4c68676-bwxlv     0/1     CrashLoopBackOff   2 (17s ago)   3m45s   10.244.2.71   k8s-worker2   <none>           <none>
payment-84d4c68676-fbv9g     1/1     Running            2 (54m ago)   57m     10.244.1.71   k8s-worker1   <none>           <none>
payment-84d4c68676-jdfrk     0/1     CrashLoopBackOff   3 (16s ago)   3m15s   10.244.2.73   k8s-worker2   <none>           <none>
payment-84d4c68676-k9bk8     0/1     Running            8 (31s ago)   62m     10.244.2.60   k8s-worker2   <none>           <none>
payment-84d4c68676-kjxzw     0/1     CrashLoopBackOff   3 (38s ago)   6m15s   10.244.2.69   k8s-worker2   <none>           <none>
product-7f7cb5797d-4gnkq     1/1     Running            0             124m    10.244.1.13   k8s-worker1   <none>           <none>
product-7f7cb5797d-8l85p     1/1     Running            0             2m15s   10.244.1.87   k8s-worker1   <none>           <none>
product-7f7cb5797d-x9pq8     1/1     Running            0             68m     10.244.1.51   k8s-worker1   <none>           <none>
user-cf9f7646c-xfgl5         1/1     Running            0             163m    10.244.2.14   k8s-worker2   <none>           <none>
